base64_url,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off,network_id
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,MX351,FLIXBUS-us,FlixBus MX351,Mexico City - Aguascalientes,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,N2210,FLIXBUS-us,FlixBus N2210,Houston - New Orleans,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0831,GREYHOUND-us,Greyhound US0831,Tijuana - Los Angeles - Bay Area,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2470,FLIXBUS-us,FlixBus 2470,Atlanta - Charlotte - DC,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2682,FLIXBUS-us,FlixBus 2682,DC-NYC-Ithaca,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0123S,GREYHOUND-us,Greyhound US0123S,Chicago - Des Moines - Denver (Subsidy),,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2704,FLIXBUS-us,FlixBus 2704,Toronto - Niagara Falls,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0235,GREYHOUND-us,Greyhound US0235,Boston - Philadelphia - Washington,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,N2641,FLIXBUS-us,FlixBus N2641,NYC - Cleveland - Chicago,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2609,FLIXBUS-us,FlixBus 2609,Queens/Brooklyn - DC,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US1142,GREYHOUND-us,Greyhound US1142,Dallas - Oklahoma City - Kansas City,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0145S,GREYHOUND-us,Greyhound US0145S,Chicago - Bloomington - Danville,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0100,GREYHOUND-us,Greyhound US0100,Atlanta - Chicago,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0200,GREYHOUND-us,Greyhound US0200,New York - Albany - Montreal,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0622s,GREYHOUND-us,Greyhound US0622s,Atlanta - Birmingham - Huntsville,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0256S,GREYHOUND-us,Greyhound US0256S,Boston - Fitchburg - New York,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,MX210,FLIXBUS-us,FlixBus MX210,Monterrey - Torreón,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2037,FLIXBUS-us,FlixBus 2037,San Diego - Las Vegas via LA,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2415,FLIXBUS-us,FlixBus 2415,Atlanta - Gainesville - Orlando,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0660s,GREYHOUND-us,Greyhound US0660s,Charlotte - Fayetteville - Wilmington,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US1140D,GREYHOUND-us,Greyhound US1140D,Denver - Albuquerque - El Paso : Bus Moves,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0400s,GREYHOUND-us,Greyhound US0400s,Philadelphia - Harrisburg - Pittsburgh,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2006,FLIXBUS-us,FlixBus 2006,Fresno - Bakersfield - LA - San Diego,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2230,FLIXBUS-us,FlixBus 2230,San Antonio - Austin - Dallas,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0150S,GREYHOUND-us,Greyhound US0150S,Chicago - Minneapolis Subsidy,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2433,FLIXBUS-us,FlixBus 2433,Orlando - Jacksonville - Raleigh,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2687,FLIXBUS-us,FlixBus 2687,NYC - Buffalo growth,,3,,73D700,FFFFFF,,,,
